"","Country","Year","Age","Female","Male","Total"
"1","Belgium",2001,0,55987,58625,114612
"2","Belgium",2001,5,226553,236084,462637
"3","Belgium",2001,10,298421,312335,610756
"4","Belgium",2001,15,300911,316174,617085
"5","Belgium",2001,20,297102,310032,607134
"6","Belgium",2001,25,314929,320725,635654
"7","Belgium",2001,30,335393,342700,678093
"8","Belgium",2001,35,368969,379977,748946
"9","Belgium",2001,40,400724,411468,812192
"10","Belgium",2001,45,388133,396017,784150
"11","Belgium",2001,50,358338,364616,722954
"12","Belgium",2001,55,343509,348568,692077
"13","Belgium",2001,60,266485,262549,529034
"14","Belgium",2001,65,267344,251011,518355
"15","Belgium",2001,70,272077,237903,509980
"16","Belgium",2001,75,260119,202318,462437
"17","Belgium",2001,80,229349,152616,381965
"18","Belgium",2001,85,124176.15,66429.92,190606.07
"19","Belgium",2001,90,90041.65,35544.98,125586.63
"20","Belgium",2001,95,46379.41,12008,58387.41
"21","Czechia",1990,0,62143.08,64878.17,127021.25
"22","Czechia",1990,5,255202.11,267867.51,523069.62
"23","Czechia",1990,10,341532.48,358711.3,700243.78
"24","Czechia",1990,15,434277.14,453765.51,888042.65
"25","Czechia",1990,20,400003.51,419807.53,819811.04
"26","Czechia",1990,25,333167.77,348400.92,681568.69
"27","Czechia",1990,30,328101.35,341650.61,669751.96
"28","Czechia",1990,35,354220.26,363636.27,717856.53
"29","Czechia",1990,40,406871.3,412588.7,819460
"30","Czechia",1990,45,409512.26,411592.26,821104.52
"31","Czechia",1990,50,332098.77,327121.58,659220.35
"32","Czechia",1990,55,261509.11,247159.31,508668.42
"33","Czechia",1990,60,285133.1,256153.36,541286.46
"34","Czechia",1990,65,296574.73,241793.66,538368.39
"35","Czechia",1990,70,291278.64,210486.34,501764.98
"36","Czechia",1990,75,144722.88,94370.64,239093.52
"37","Czechia",1990,80,190757.65,108069.07,298826.72
"38","Czechia",1990,85,115564.49,53319.9,168884.39
"39","Czechia",1990,90,46937.07,16140.11,63077.18
"40","Czechia",1990,95,12474.31,3222.42,15696.73
"41","Denmark",2017,0,30054,31971,62025
"42","Denmark",2017,5,114829,121209,236038
"43","Denmark",2017,10,159967,168476,328443
"44","Denmark",2017,15,163401,171661,335062
"45","Denmark",2017,20,170361,178989,349350
"46","Denmark",2017,25,191188,200134,391322
"47","Denmark",2017,30,183135,190982,374117
"48","Denmark",2017,35,162239,168307,330546
"49","Denmark",2017,40,170741,172682,343423
"50","Denmark",2017,45,193540,194331,387871
"51","Denmark",2017,50,195034,198807,393841
"52","Denmark",2017,55,207912,211581,419493
"53","Denmark",2017,60,181030,181180,362210
"54","Denmark",2017,65,171723,168133,339856
"55","Denmark",2017,70,169882,162414,332296
"56","Denmark",2017,75,161669,150619,312288
"57","Denmark",2017,80,108267,92600,200867
"58","Denmark",2017,85,74391,55736,130127
"59","Denmark",2017,90,46982,28226,75208
"60","Denmark",2017,95,32224,12142,44366
"61","England",2006,0,316366,331398.5,647764.5
"62","England",2006,5,1193736.5,1254099.5,2447836
"63","England",2006,10,1554267,1629613.5,3183880.5
"64","England",2006,15,1654243,1736786,3391029
"65","England",2006,20,1705809,1761736.5,3467545.5
"66","England",2006,25,1752838.5,1763412.5,3516251
"67","England",2006,30,1737694,1725349,3463043
"68","England",2006,35,1857535.5,1840556,3698091.5
"69","England",2006,40,2065478.5,2045322,4110800.5
"70","England",2006,45,2071688.5,2037062,4108750.5
"71","England",2006,50,1817677,1800140,3617817
"72","England",2006,55,1638407.5,1609580.5,3247988
"73","England",2006,60,1758446,1720732.5,3479178.5
"74","England",2006,65,1434445,1385586,2820031
"75","England",2006,70,1233403,1150250.5,2383653.5
"76","England",2006,75,1101902,962527.5,2064429.5
"77","England",2006,80,978687.5,752463,1731150.5
"78","England",2006,85,796965.83,503037.96,1300003.79
"79","England",2006,90,466119.83,223322.19,689442.02
"80","England",2006,95,281259.31,87194.57,368453.88
"81","Finland",2016,0,27044,28516,55560
"82","Finland",2016,5,116755,122063,238818
"83","Finland",2016,10,150313,157405,307718
"84","Finland",2016,15,143863,150064,293927
"85","Finland",2016,20,147120,154051,301171
